average distance,average force,std force,average energy,ecf errors
6.369351651463435,-0.07190301097846356,0.03057761710290133,-31914.505656246074,0.16474374552957397
8.369351651478684,-0.03967021339718883,0.03665851821827262,-31914.157035803488,0.185470196884376
10.369351647783038,0.00013144739954422301,0.03257824214894502,-31914.399853058134,0.17448994857880903
12.36935165708181,-0.060082693586199,0.031016990032195397,-31914.303255458995,0.13968538354078358
14.369351653386158,-0.17943394763023382,0.03389440286925881,-31914.180602108474,0.14995254443281844
16.369351653401402,-1.0803483331272012,0.032038370701274785,-31913.88717433314,0.13505704040223349
18.36935164970577,-1.6362376560207752,0.030677525957828584,-31913.26594235312,0.1365804394092351
20.369351649721015,-2.049735678856562,0.03228777215185145,-31912.909545806273,0.13854838560698626
22.369351655308886,-2.648823525995328,0.03205455991566691,-31912.549586131827,0.13228115024024653
24.369351655324127,-3.0999712025243515,0.030616943167240413,-31911.87754659848,0.1475983633215982
